Input,Predicted,Actual
My name is Inessa Pavlovna.,<unk> <unk> <unk> <unk> है .,मेरा नाम Inessa Pavlovna है.
Let me see it.,"मुझे , यह <unk> . .",मुझे इसे देखते हैं.
walk out with him.,उसे <unk> से <unk> .,outwith उसे चलना.
I'll get the kid.,<unk> से . . ।,मैं बच्चा मिल जाएगा.
- They hit Jacques.,<unk> <unk> <unk> <unk> .,- वे जैक्स मारा.
"- No, of course not.","<unk> , <unk> <unk> नहीं .","- नहीं, बिल्कुल नहीं."
[ ELECTRICITY BUZZING ],<unk> <unk> <unk> <unk> कर,[बिजली गुलजार]
"-Trust me, I'm hanging on!","नहीं , <unk> , <unk> <unk> ! ! !","ट्रस्ट मुझे, l'मीटर पर फांसी!"
"Unfortunately, I do know you.","<unk> , तुम , तुम . .","- दुर्भाग्य से, मैं तुम्हें पता नहीं है."
"Sorry, I must go.","<unk> , <unk> <unk> <unk> .","माफ करना, मुझे जाना चाहिए."
"""Will it continue to kill?""",""" <unk> <unk> <unk> <unk> <unk> "" ""","""इसे मारने के लिए जारी रहेगा?"""
"- No, I'm ok.","<unk> , <unk> <unk> <unk> .","- नहीं, मैं ठीक हूँ."
How do you do?,क्या क्या हो ? ?,- तुम कैसे हो?
You're practicing for a fight.,आप <unk> के लिए <unk> <unk> . .,आप एक लड़ाई के लिए अभ्यास कर रहे हैं।
He sold you the roofilin?,<unk> <unk> <unk> <unk> ?,वह तुम्हें roofilin बेच दिया?
Would you like some?,आप <unk> <unk> <unk> हो ?,क्या तुम कुछ पसंद करोगी?
It's not just about experience.,यह <unk> के के <unk> है है .,बात सिर्फ़ अनुभव की नहीं है।
(SCOFFS) Baskin-Robbins don't play.,<unk> <unk> नहीं नहीं ।,(मखौल उड़ाते) बास्किन रॉबिन्स नहीं खेलते हैं।
I don't see very well.,यह बहुत के नहीं नहीं .,मैं बहुत अच्छी तरह से नहीं दिख रहा।
"Well, that's a first.","<unk> , वह एक <unk> है .","वैसे, यह पहली बार है."
I'll be there right away.,<unk> वहाँ <unk> जाएगा .,बस कुछ ही देर मे आता हूँ.
We'll see you soon!,तुम तुम <unk> <unk> ! !,आशा है कि जल्द ही मिलते हैं!
(MOANS IN DISGUST) (KEYS CLATTER),( <unk> ) ( <unk> ) <unk> ) ) ),(घृणा में moans) (कुंजी खटखटाना)
© P@rM! NdeR M@nkÖÖ ™,<unk> <unk> <unk> <unk> <unk> !,©@ पीआर एम nderएम@ नायक ऊ
Maybe Omar can have her.,<unk> <unk> <unk> कर सकते हैं ।,शायद ओमार उसे ले सकता है.
Thank you very much.,आप बहुत <unk> . .,आपको बहुत बहुत धन्यवाद!
"No, no, I'll be there.","नहीं , नहीं , <unk> <unk> .","नहीं, नहीं, मैं वहाँ हो जाएगा."
"But, finally, here we are.","ठीक , , , हम , हैं हैं","पर, आखिरकार, हमारी मुलाकात हो ही गई।"
We're crashing the White House.,<unk> <unk> <unk> <unk> हैं .,हम व्हाइट हाउस को प्रतिबंधित कर रहे हैं।
Seven years per hour here.,<unk> <unk> <unk> <unk> <unk> है .,एक घंटा सात साल के बराबर है यहाँ .
We can't help him.,तुम उसे नहीं नहीं नहीं ।,हम उसकी मदद नहीं कर सकते।
So here we are.,हम हम हम हैं .,तो हम यहाँ हैं।
Never ask a man's earnings.,<unk> <unk> <unk> <unk> <unk> है,आदमियों की कमायी कभी नहीं पूछनी चाहिये.
Owe you some money?,तुम <unk> <unk> <unk> कर ?,आप कुछ पैसा देना है?
What are you doing?,तुम क्या कर रहे हैं,तुम क्या कर रहे हो?
Brother-in-law is very careful.,<unk> . <unk> है .,जीजाजी काफी सावधान रहते हैं.
"Judith, you nailed another one.","<unk> , एक एक <unk> <unk> <unk>","जूडिथ, आप एक दूसरे से किसी न किसी"
Just taking a little breather.,एक <unk> <unk> <unk> <unk> .,बस थोड़ा आराम कर रहा था।
Smiley told me everything.,"<unk> , वह कहा था था",स्माईली मुझे सब कुछ बताया.
Drive for the hole!,<unk> <unk> <unk> <unk> !,छेद के लिए ड्राइव!
"See you later, little prick.","आप , , , <unk> .",- पुराने गोल्फ़ के दोस्त।
- Do you need money?,तुम <unk> <unk> <unk> <unk> ?,- क्या तुम पैसे की ज़रूरत है?
"Ender, no one is embarrassed.","नहीं , यह , <unk> है है","एंडर, कोई शर्िमंदा नहीं है।"
Amélie Poulain was born.,<unk> <unk> <unk> <unk> .,Amelie Poulain का जन्म हुआ।
That's how it works.,यह यह है कि है है .,कि यह कैसे काम करता है.
I'm initiating reactor override now.,"<unk> , <unk> <unk> <unk> <unk> .",मैं रिएक्टर अब ओवरराइड की शुरुआत कर रहा हूँ.
"- Bless you, Alexander.","<unk> , , <unk> <unk> .","-, सिकंदर तुम्हें आशीर्वाद."
And he never came back.,वह वह कि नहीं नहीं था .,और वह वापस कभी नहीं आए।
We need to talk.,<unk> के के लिए है .,हम बात करने की जरूरत है
Your ass is not driving.,<unk> <unk> <unk> नहीं है .,आपका गधा नहीं चला है।
Hasn't stopped me before.,मैं तुम्हें <unk> <unk> <unk> . ।,मेरे सामने नहीं रोका गया है।
It's not in the city.,<unk> <unk> <unk> है .,यह शहर में नहीं है.
Approaching the event horizon.,<unk> <unk> <unk> <unk> .,आखिरी क्षितिज पर पहुँचाने वाला हूँ .
Tell me the truth.,<unk> <unk> <unk> . .,सच बताओ मुझे.
I never met her.,"<unk> , <unk> नहीं नहीं नहीं",मैं उसे कभी नहीं मिला।
"Collignon, down the john.","<unk> , <unk> <unk> .","Collignon, पागल है बेवकूफ़ है"
That's really all she said.,वह वह वह वह वह है .,वाक़ई उसने बस यही कहा.
So it's all good?,यह सब यह ठीक है,तो यह सब अच्छा है?
What good is that now?,यही वह क्या है है ?,इसका क्या फायदा अब?
So let me guess.,"<unk> , <unk> <unk> . .",तो मुझे लगता है।
Tie me on the back.,"<unk> , <unk> <unk> . .",पीठ पर बाँधो.
"Yes, operator, I'm still here.","<unk> , , , , , , है","हाँ, मैं अभी भी यहाँ हूँ ऑपरेटर, ."
"No, it's Sam. Behind you.","<unk> , यह <unk> <unk> <unk> है .","नहीं, सैम है तुम्हारे पीछे।"
I know. What the fuck?,"<unk> , <unk> <unk> <unk> ? ?",मैं जानता / जानती हूँ.
Give me your hand.,मैं अपने <unk> <unk> . .,अपना हाथ देना.
( birds chirping ),( <unk> ) <unk> ),(चहकतीपक्षियों)
- How'd it go?,<unk> <unk> <unk> है,- क्या हुआ ?
Status of the cargo ship.,<unk> <unk> <unk> <unk> .,लक्ष्य में ढुलाई?
It's a goddamn homing beacon.,एक <unk> <unk> <unk> <unk> है,यहएकधत्तेरेघरवापसआनाबीकनहै
We're stealing her money.,वे <unk> <unk> <unk> कर हैं .,हम उसके पैसे चोरी कर रहे हैं.
Best in the world.,<unk> के <unk> . .,दुनिया में बेस्ट.
I don't save people.,<unk> को मत मत ।,मैं लोगों को नहीं बचा है।
Now he's killing us.,वह कहा कि <unk> <unk> है .,अब वह हमें मार रहा है.
Indu is mine. Mine.,<unk> <unk> <unk> <unk> . .,इंदु मेरी है.
We just saved the world.,<unk> . <unk> <unk> . .,हम सिर्फ दुनिया को बचाया।
"He belongs to me now.""",""" आप <unk> <unk> <unk> कर ।","उन्होंने कहा कि मेरे लिए अब अंतर्गत आता है। """
Trying to freak me out.,<unk> <unk> <unk> <unk> <unk> .,मुझे बाहर बेकार करने के लिए कोशिश कर रहा है.
Reporting for Channel 7 News.,<unk> <unk> <unk> <unk> <unk> .,चैनल 7 न्यूज के लिए रिपोर्टिंग.
"What are you doing, Ender?","आप , <unk> कर कर रहे हैं ?","आप, एंडर क्या कर रहे हो?"
"Mm, close the deal.","<unk> , <unk> <unk> है .",सौदा खत्म।
"- No, definitely not.","नहीं , नहीं <unk> नहीं .","- नहीं, बिल्कुल नहीं."
Rick wants to hire me!,<unk> <unk> <unk> <unk> <unk> !,रिक के लिए मुझे किराया चाहता है!
"Oh, I'm not worried.","नहीं , नहीं , मैं <unk> . .","ओह, मैं चिंतित नहीं हूँ."
You know who you are?,"<unk> , क्या हो ? ?",तुम कौन हो?
And here you are.,"<unk> , हो हो हैं .",और यहाँ तुम हो!
woman #2 speaking native language:,पुरुष # 2 2 2 है है है,महिला #2 मातृभाषा में बोलती है:
He must be a pirate,<unk> <unk> <unk> <unk> .,वह एक समुद्री डाकू होना चाहिए
Gratitude can be forgiveness.,हम <unk> <unk> कर सकते हैं,आभार क्षमा किया जा सकता है।
Why wouldn't I be coming?,<unk> नहीं नहीं नहीं नहीं ?,-आता क्यों नहीं मैं ?
You guys are fuckin' retarded.,<unk> <unk> <unk> <unk> <unk> हैं .,तुम लोग 'बेकार हैं मंदबुद्धि.
Why all of a sudden?,<unk> <unk> <unk> <unk> है ?,यूँ अचानक क्यों दे रहे हैं?
Baby Corp betrayed me!,<unk> <unk> <unk> <unk> <unk>,बेबी कॉर्प ने मुझे धोखा दिया!
"IF WE GET CAUGHT, YEAH,","<unk> <unk> <unk> , , , , <unk>","हम पकड़े गए हैं, हाँ,"
"Armageddon, it's upon us.","<unk> , यह <unk> <unk> है है .","Armageddon, यह हम पर है."
I have two younger sisters.,<unk> <unk> <unk> <unk> .,मैं दो छोटी बहनें है।
And then what happened?,"<unk> , क्या क्या ? ?",और फिर क्या हुआ?
- Me? I won't go.,<unk> <unk> <unk> नहीं . .,मैं नहीं जाऊँगा.
Do you have a warrant?,आप एक <unk> <unk> है ?,आप एक वारंट है?
"C'mon, we'll miss our train.","नहीं , हम हम <unk> <unk> । .","चलो भी, हमारी ट्रेन छूट जाएगी."
This is your blood.,<unk> <unk> <unk> <unk> . .,यह आपके रक्त है।
We gotta keep movin'.,<unk> <unk> <unk> . .,हम 'movin रखना होगा.
Each received photos like these.,<unk> <unk> <unk> <unk> <unk> .,प्रत्येक इन तरह प्राप्त तस्वीरें.
I just saw your husband.,मैं अपने पिता अपने पिता . .,मैं सिर्फ अपने पति को देखा.
- Just about midnight.,<unk> के के <unk> <unk>,- बस आधी रात के बारे में.
I don't write the plays.,<unk> <unk> नहीं नहीं .,मैं नाटकों लिखना नहीं है.
You're brilliant in battlefields...,<unk> <unk> <unk> <unk> . . .,You're brilliant in battlefields...
This is not happening.,यह <unk> नहीं है .,ये नहीं हो सकता।
Get in the car.,<unk> में में . .,कार में बैठ जाओ.
"We'll find a way, professor.","एक एक एक , , ,",हम कोई न कोई तरीका दूंढ़ लेंगे Professor .
"You're out some smokes, son.","आप एक <unk> , , , , हैं .","तुम कुछ धूम्रपान से गये, बेटे."
A guy like you.,<unk> <unk> <unk> <unk> <unk> .,आप की तरह एक आदमी.
11 million on the aisle.,<unk> <unk> <unk> <unk> .,गलियारे पर 11 लाख.
What did you do?,क्या क्या हो ?,तुमने क्या किया?
You have two options.,<unk> <unk> <unk> <unk> .,आप दो OPA § अज्ञात है.
"- Thank you, baby.","आप , , , <unk> .","- धन्यवाद, बेबी."
The fucking thing won't start.,<unk> <unk> <unk> नहीं नहीं .,कमबख्तबात शुरू नहीं करेंगे .
I need help here.,<unk> यहाँ से से है .,मुझे यहाँ मदद की ज़रूरत है.
This was his room.,<unk> <unk> <unk> <unk> .,यह उसका कमरा था।
I'm looking for my son.,मैं अपने के के <unk> . . .,मैं अपने बेटे को ढूँढ़ रहा हूँ।
Quit talking like some idiot.,आप <unk> <unk> <unk> <unk> .,कुछ बेवकूफ की तरह बात कर बाहर निकलें.
To actively stop it.,<unk> <unk> <unk> <unk> . .,कुछ करके इसे रोकना है.
Run into the lake!,<unk> <unk> <unk> <unk> !,झील में भागो!
"IT'S A LONG JOURNEY, MAN.","<unk> <unk> <unk> <unk> , <unk> <unk> .","यह एक लंबी यात्रा है, यार."
That's not what he meant!,वह वह वह वह नहीं नहीं,कि वह क्या मतलब नहीं है!
Apples don't cost a nickel.,<unk> <unk> <unk> नहीं <unk> ।,सेब एक निकेल खर्च नहीं करते।
- l don't believe it.,मुझे यह यह नहीं नहीं .,-मुझे यकीन नहीं हो रहा.
- It's starting to show.,<unk> के के लिए . .,- यह दिखाने के लिए शुरू हो रहा है।
I don't want a makeover.,<unk> <unk> <unk> नहीं । .,मैं एक बदलाव नहीं करना चाहती।
I'm a bed wetter.,मैं एक <unk> <unk> <unk> .,मैं मोजो बिस्तर
No sign of him.,<unk> <unk> <unk> है .,उसकेबारे मेंकोईसंकेतनहींहै.
His illness is incurable,<unk> <unk> <unk> <unk> है,उसका मर्ज लाइलाज है
- They chose you.,<unk> <unk> <unk> <unk> .,- उन्होंने तुमें चुना है .
"I'm gonna kill you, Weinselstein!","मैं तुम्हें तुम्हें तुम्हें तुम्हें , , ! ! !","मैं, Weinselstein तुम्हें मारने वाला हूँ!"
- He can't be moved!,तुम नहीं नहीं नहीं सकता,- उसे नहीं ले जा सकते!
I don't trust him.,<unk> मुझे नहीं नहीं नहीं .,- मैं उसे भरोसा नहीं है.
"A long time ago, Charlie.","एक <unk> , , , .","बहुत समय पहले, चार्ली."
Are we worried about him?,"हम , हम साथ <unk> है ?",हम उसके बारे में चिंतित हैं?
I think we're close.,"हम , हम हम हम रहे हैं",मैं हम करीब हैं लगता है.
"No problem, Mr. Ullman.","<unk> , , <unk> <unk> <unk> .","कोई समस्या नहीं है, श्री उलमन."
That's what they called her.,वह कहा वे <unk> <unk> <unk> .,यही कारण है कि वे उसे क्या कहा जाता है.
Let's go to Vegas.,<unk> <unk> के . .,चलो वेगास के पास जाओ.
- Where are you going?,तुम क्या हो रहे हो,- कहाँ जा रहे हो?
Alan should do it.,यह यह नहीं नहीं .,एलन यह करना चाहिए.
(FOLK MUSIC PLAYING ON RADIO),( <unk> <unk> <unk> <unk> <unk> ),(लोकसंगीतखेलपररेडियो)
"Oh, Okay. Who does then?","<unk> , <unk> , <unk> <unk> ?","ओह, अच्छा तो फिर कौन रहता है?"
I thought I killed you.,"<unk> , , <unk> <unk> <unk> .",मैंने सोचा कि मैं आप को मार डाला।
Now what do we do?,हम क्या क्या हैं ?,अब हम क्या करें?
"I trust you, Bhairava.","आप , , , , <unk> .","मुझे तुम पर विश्वास है, भैरवा."
"No, it's not daylight.","नहीं , यह <unk> <unk> नहीं है","नहीं , यह दिन के उजाले नहीं है."
And an eyebrow ring?,<unk> <unk> <unk> <unk> है,और भौंहों पर बाली?
I need the toilet.,<unk> <unk> <unk> <unk> .,मैं बाथरूम जाने की जरूरत है.
Frau Junge and Frau Christian...,<unk> <unk> <unk> <unk> <unk> . .,फ्रॉ जुंग फ्रॉ और क्रिस्चियन...
This means she's right here.,वह वह वह यहाँ यहाँ है .,यह वह यहीं है इसका मतलब है।
So my name is Masood...,<unk> . . . . . .,"तो, मेरा नाम मसूद है..."
-What are you doing?,तुम क्या कर रहे हैं,- क्या कर रहे हो?
"You are beautiful, so beautiful!","<unk> <unk> , , है !",तुम कितनी सुंदर हो!
I take you are zod.,<unk> <unk> <unk> <unk> .,मैं आप zod रहे हैं ले.
That girl shouldn't survive.,<unk> <unk> <unk> नहीं नहीं है .,उस लड़की को जीवित रहने के लिए नहीं करना चाहिए।
We're not going home.,हम नहीं नहीं नहीं । .,- हम घर नहीं जा रहे हैं! - क्या?
Is she so beautiful?,वह वह <unk> है है,बहुत खूबसूरत है वो?
Let's not talk about it.,इसके इसके बारे बारे में नहीं है .,बारे में बात यह नहीं है.
I couldn't save them.,हम हमें नहीं नहीं नहीं । .,मैं उन्हें नहीं बचा सके.
Give it to me.,<unk> मुझे <unk> <unk> . .,ये मुझे दो।
We're ready for you inside.,आप के के के लिए लिए रहे .,हम अंदर आप के लिए तैयार कर रहे हैं।
That was a close call.,वह एक <unk> <unk> .,बाल-बाल बचे.
"Come, my golden goose!","<unk> , <unk> , <unk> ! !","आओ, मेरी सोने की मुर्गी!"
Outcome... would be death.,<unk> . . . . .,परिणाम ... मौत होगी।
We can still reach you.,मैं कहा भी कि <unk> कर सकते,हम अभी भी आप तक पहुँच सकते हैं.
"Last days of war, gentlemen.","<unk> के , , , . .","युद्ध के अंतिम दिन, सज्जनों."
Can I go now?,"<unk> , <unk> <unk> .",क्या मै जा सकता हूँ?
Could you shave me?,तुम मुझे <unk> <unk> कर ?,तुम मेरा सेव कर सकती हो?
As I am a princess.,"<unk> , <unk> <unk> <unk> .",मैं हूँ... ... एक राजकुमारी.
Subtitles Provided By Worldwide7477,<unk> <unk> <unk> <unk> <unk>,Worldwide7477 द्वारा प्रदान उपशीर्षक
They want the fish.,<unk> <unk> <unk> . .,वे मछली चाहते हैं.
"You're the one, Saru...","<unk> <unk> <unk> <unk> , . . .","तुम एक, Saru कर रहे हैं ..."
-Why do you do that?,आप यह क्या हो ?,-तुम यह क्यों करते हैं?
So... thanks for listening.,<unk> . . . . .,तो... -सुनने के लिए शुक्रिया.
We village elders still exist.,<unk> <unk> <unk> <unk> <unk> . .,हम गांव के बुजुर्ग अभी भी मौजूद हैं.
I am so sorry Richard.,<unk> <unk> <unk> <unk> . .,मैं बहुत शर्मिंदा हूँ रिचर्ड।
"What about, um... we were...","<unk> , , , के . . . .","के बारे में क्या, उम... हम थे..."
"Tome, you can stop.","नहीं , तुम तुम कर सकते हैं",ठीक है.
"- Come on, let's go.","चलो , चलो । चलो .","- चलो, चलो चलते हैं."
Ain't nobody tell me no.,"मुझे नहीं , नहीं नहीं . .",नहीं कोई भी मुझे बता नहीं है।
Like our ancestors did.,<unk> <unk> <unk> <unk> . .,हमारे पूर्वजों की तरह किया.
I said stand down!,<unk> <unk> <unk> !,मैं नीचे खड़े कहा!
Let's find that river.,<unk> <unk> <unk> <unk> है .,चलो कि नदी.
To tell the tale.,<unk> <unk> <unk> <unk> .,मेरे लिए स्पैरो खोजें... और एक संदेश प्राप्त करें...
"You got visitors, man.","<unk> <unk> , , <unk> .","आप आगंतुकों, आदमी मिला।"
Head to the door!,<unk> <unk> <unk> <unk> !,दरवाजे के लिए सिर!
- I'm kals father.,मैं <unk> <unk> <unk> . .,- मैं Kals पिता हूँ.
We should use politics.,<unk> <unk> <unk> <unk> . .,हमें राजनीति का उपयोग करना चाहिए.
I will go with him.,उसे <unk> से साथ ।,मैं उसके साथ जाना होगा।
Why am I looked for?,<unk> <unk> <unk> <unk> <unk> ?,किसके लिए?
Have you seen the codex?,<unk> <unk> <unk> <unk> ? ?,आप कोड को देखा है?
He was my best friend.,यह मेरा <unk> <unk> . .,वह मेरा सबसे अच्छा दोस्त था
- Reinstate the workers!,<unk> <unk> <unk> <unk> .,- कर्मचारियों को बहाल करो!
Let's go to work.,<unk> के के लिए . .,के काम करने के लिए चलते हैं.
I'll see y'all later.,हम <unk> <unk> <unk> जाएगा .,मैं बाद में तुम सब देखेंगे.
Neck like a giraffe.,<unk> <unk> <unk> <unk> .,मोटी होंठ...
"Now come on, Doc.","<unk> , , <unk> .","अब आओ, डॉक्."
Hypnosis is the perfect tool.,<unk> <unk> <unk> है .,.. सम्मोहन सही उपकरण है
Used to getting wounds?,<unk> के के <unk> कर है,घाव हो रही करने के लिए इस्तेमाल किया है?
I'd like nothing better.,<unk> का <unk> नहीं नहीं .,मैं बेहतर कुछ भी नहीं करना चाहते हैं।
Sit for a minute.,<unk> के के <unk> . .,एक मिनट के लिए बैठ लो.
"No, I can handle him.","<unk> , वे वे <unk> कर सकते हैं","नहीं, मैं उसे सँभाल लूँगा।"
Tell her to marry Rahul.,<unk> <unk> के के <unk> .,कहो इसे राहुल से शादी करने के लिए.
You can't just do that.,यह सिर्फ नहीं नहीं नहीं . . .,तुम बस ऐसा नहीं कर सकते.
"Sorry, I gotta ask.","<unk> , <unk> <unk> <unk> .",मुझे पूछना पड़ेगा।
That guy you're after.,<unk> <unk> के <unk> <unk> रहे रहे,आप के बाद कर रहे हैं उस आदमी.
She calls herself Adele.,<unk> <unk> <unk> <unk> . .,उसका नाम एडेल है.
Making me look bad.,"<unk> , <unk> <unk> . .",मुझे बुरा लग रहा है.
And what do you think?,क्या क्या क्या हो ?,और आप क्या सोचते हैं?
I've got plenty of leverage.,<unk> <unk> <unk> <unk> है है .,मैं लाभ उठाने के बहुत सारे मिल गया है.
- Getting matching tattoos.,<unk> <unk> <unk> <unk> .,- मिलान टैटू हो रही है.
Tell me..who opened the gate?,<unk> . . <unk> <unk> . ?,बताओ me.. who गेट खोला?
You might lose your car.,मैं अपने के के <unk> कर .,आप अपनी कार खो सकता है.
What is it? Cash? Jewels?,यह <unk> क्या <unk> है ?,यह नकदी ज्वेल्स क्या है ?
There were perfect things.,<unk> <unk> <unk> <unk> . .,वहाँ सही बातें कर रहे थे।
That's me! I'm next!,"<unk> , <unk> <unk> <unk> ! !",मेरी अगली बारी है!
Sounds suspicious to me.,<unk> <unk> <unk> <unk> . .,मुझे दाल में कुछ काला लगता है।
- They haven't found one.,एक <unk> नहीं नहीं है .,चाकू उन्हें नहीं मिला है.
- You forgot your keys...,<unk> <unk> <unk> <unk> . .,- आप अपनी चाभी भूल गए थे...
How many more lies?,<unk> <unk> <unk> <unk> ?,और कितने झूठ?
They murdered the last Hand.,<unk> <unk> <unk> <unk> .,वे पिछले हाथ की हत्या कर दी।
© P@rM! NdeR M@nkÖÖ ™,<unk> <unk> <unk> <unk> <unk> !,©पी@RMnderएम@nkÖÖ
It's 7:00 a m.,<unk> <unk> <unk> <unk> है .,00 बजे हैं।
A beautiful rose bush.,<unk> <unk> <unk> <unk> .,एक खूबसूरत गुलाब की टहनी.
Face the other way!,<unk> <unk> <unk> है !,मुँह दूसरी ओर करो!
- When is the wedding?,<unk> <unk> है है ?,- शादी कब है?
How you like your chair?,आप <unk> <unk> <unk> <unk> <unk> ?,मि.
- Here's the truth.,<unk> <unk> <unk> है .,- यहाँ सच है।
- I'll go get Saru.,<unk> <unk> . . .,मैं Saru मिल जायेंगे।
Your chi is strong.,<unk> <unk> <unk> है .,तुम्हारी ऊर्जा बहुत शक्तिशाली है।
I'm talking to you.,मैं तुम्हें बात के रहा .,मैं आप से बात कर रहा हूँ.
He said that our Priya.,<unk> वह कि <unk> <unk> है .,इसने कहा कि हमारी प्रिया
# Sotto i pini,"<unk> , <unk> <unk> <unk>",♪ देवदार तले ♪
"They're not, 'cause we're not.","हम , हम हम हम नहीं हैं हैं . .",हम नहीं कर रहे हैं क्योंकि वे नहीं कर रहे हैं.
Securing the Conn pod.,<unk> <unk> <unk> . .,क्ोन फली सुरक्षित.
All downhill from here.,"<unk> , <unk> <unk> . .",यहाँ से सब डाउनहिल।
"Take the wheel, Tom.","<unk> <unk> , <unk> . .","तुम गाड़ी चलाओ , Tom."
"Remember, this was years ago.","<unk> , <unk> <unk> <unk> था .",इस साल पहले की बात याद है.
- That is the spare.,<unk> <unk> <unk> है .,ये दूसरा वाला टायर ही है.
[ MAN SIGHS ],<unk> <unk> <unk> <unk> कर,[मैन आह]
It's making me sick.,"<unk> , है मुझे . .",मुझे अच्छा नहीं लगता
See..even you are scared.,"<unk> , तुम आप <unk> <unk> रहे रहे",See.. even आप डर रहे हैं।
- They really needed that.,<unk> <unk> <unk> <unk> <unk> है,- उन्हें सच में इसकी ज़रूरत थी।
Chop chop./ Just spin around.,<unk> <unk> <unk> <unk> <unk> .,जल्द जल्द. / बस के आसपास स्पिन.
Brought you a present.,आप <unk> <unk> . .,तुम्हारे लिए एक तोहफ़ा लाया हूं।
What are you doing?,तुम क्या कर रहे हैं,तुम क्या कर रहे हो?
Jon left you in charge?,"<unk> , <unk> <unk> <unk> ? ?",जॉन आरोप में आप छोड़ दिया?
He's a concerned citizen.,<unk> <unk> <unk> <unk> है .,मि.
They call that karma.,<unk> <unk> <unk> <unk> . .,वे कहते हैं कि कर्म कहते हैं.
You embarrassed about me?,"<unk> , के <unk> <unk> है",तुम मेरे बारे में शर्मिंदा?
YOU JUST KEEP A LOOKOUT.,<unk> <unk> <unk> <unk> <unk> .,तुम सिर्फ एक तलाश रखना. गंदगी!
"WELL, WHICH WAY NOW?","<unk> , <unk> <unk> <unk> <unk>","अच्छी तरह से, जो रास्ता अब?"
"It's Grady, Mr. Torrance.","<unk> <unk> <unk> , <unk> <unk> .","मैं ग्रेडी हूं, श्री टॉरंस."
I want it done.,<unk> <unk> नहीं है .,मैं इसे किया चाहते हैं.
Get down the stairs.,<unk> <unk> <unk> . .,सीढ़ियों से नीचे जाओ.
- Who is it?,यह <unk> है है है,- कौन है?
Still with this thing.,<unk> के के <unk> . .,अब भी यही पहन रखा है।
Many participants are to compete.,<unk> <unk> <unk> <unk> कर हैं .,कई प्रतियोगियों का मुकाबला होगा.
- To knock off?,<unk> <unk> <unk> <unk> है,- जल्दी से पुरा करने के लिए?
© P@rM! NdeR M@nkÖÖ ™,<unk> <unk> <unk> <unk> <unk> !,©@ पीआर एम nderएम@ nkÖÖ 
You must take revenge!,<unk> <unk> <unk> <unk> !,तुम बदला लेना चाहिए!
I won't stand for this,आप <unk> के नहीं है,मैं ये नहीं होने दूँगी
It was all a waste,<unk> एक <unk> है .,यह सब बर्बादी थी
man speaking native language:,पुरुष अपनी 2 में रहा है,पुरुष अपनी मातृभाषा में बोल रहा है:
And it's working! It's working!,"यह यह के , <unk> कर कर कर कर कर",और काम बन रहा है!
INTO MY BEAUTIFUL FUCKING HOME?,<unk> <unk> <unk> <unk> <unk> <unk>,क्यों मैं तुम्हें पसंद मैल दो जाने दिया?
"""Just You vs Me""",""" <unk> <unk> <unk> <unk> <unk> ""","""बस तुम बनाम मुझे"""
My daughter's in the car.,<unk> के में में है .,मेरी लड़की कार में है .
Don't ever lie to me!,<unk> <unk> <unk> <unk> नहीं ! !,आइन्दा झूट मत बोलना!
I'm afraid of the Missus.,<unk> <unk> <unk> <unk> <unk> <unk> .,मुझे मालकिन से डर लग रहा है.
It must be true then!,"<unk> , , , ! !",यह सच है तो होना चाहिए!
That is our 40-year credo.,<unk> <unk> <unk> <unk>,चालीस साल से यह हमारा सिद्धांत है।
And they know it.,"<unk> , यह <unk> कर .",और वे यह जानते.
You're a great man.,एक <unk> <unk> हैं . .,तुम एक महान आदमी हैं.
'His dictatorial reign started collapsing',( <unk> <unk> <unk> <unk> <unk> <unk> कर,'उनकी तानाशाही शासनकाल गिर शुरू कर दिया'
"Mission, this is Tower 49.","<unk> , <unk> <unk> <unk> है है","इस टॉवर 49 है मिशन, ."
He was my father.,<unk> <unk> <unk> <unk> . .,एल यह पता है.
"""Don't ask too many questions.""",""" "" बैठक पर पर <unk> । "" । ""","""बहुत कई सवाल मत पूछो."""
But we can't wait.,हम हम नहीं नहीं सकते .,लेकिन हम इंतजार नहीं कर सकता।
- I love Sanjay.,<unk> <unk> <unk> <unk> .,मैं संजय से प्यार है।
I only had five days.,<unk> . <unk> <unk> . .,मैं केवल पांच दिन था!
- What is he doing?,वह क्या क्या रहा है,-क्या कर रहे हैं?
"She just kept saying ""keys"".","<unk> <unk> <unk> <unk> , "" "" ""","वह सिर्फ ""कुंजी"" कह रखा है."
"-Yeah, we're the good guys.","हम , हम हम हैं हैं हैं","- हाँ, हम अच्छे लोग कर रहे हैं।"
Guess he likes you.,वह कहा कि कि तुम .,वह तुम्हें पसंद करता है लगता है.
I want him alive,मैं <unk> <unk> <unk> .,मैं उसे जिंदा चाहते हैं
That suits us just fine.,"<unk> , हमें <unk> . .",हमें अभी ठीक सूट है.
You got to cover 360.,<unk> <unk> <unk> <unk> <unk> .,आप 360 कवर करने के लिए मिला है.
( Latin music playing ),( <unk> ) <unk> ),(लैटिनसंगीतखेल)
- Berlin's in uproar!,<unk> <unk> <unk> <unk> है !,- बर्लिन में हाहाकार मचा हुआ है!
- And we've come close.,हम हम <unk> हैं . .,- और हम करीब आ गए हैं।
This seems like gross exaggeration,<unk> <unk> <unk> <unk> <unk> है,यह सकल अतिशयोक्ति की तरह लगता है
"Put the gun down, Cameron.","<unk> , , , .",", कैमरून बंदूक नीचे रखो."
