Input,Predicted,Actual
You mean the former regent?,<unk> <unk> <unk> <unk> है ?,आप पूर्व रीजेंट मतलब है?
I really missed you.,<unk> <unk> है हमेशा आप आप,मैं वास्तव में तुम्हें याद किया.
"This is serious shit, Darcy.","<unk> <unk> , , है .","यह गंभीर गंदगी, डार्सी है."
What are you doing?,<unk> तुम क्या कर रहे हो,तुम क्या कर रहे हो?
You with your breeding.,<unk> के <unk> <unk> . .,अपने प्रजनन के साथ आप.
"- Judith, what's going on?","<unk> , , क्या क्या क्या है ?","- जूडिथ, क्या चल रहा है?"
How far have you explored?,<unk> <unk> <unk> <unk> <unk> है ?,तुमने कहाँ तक खोज की ?
I met a priest once.,<unk> <unk> <unk> <unk> <unk> <unk> .,मैं एक बार एक पुजारी से मुलाकात की.
You mock my family.,<unk> <unk> पिता <unk> <unk> <unk>,आप अपने परिवार के नकली.
As in pay any tax.,<unk> <unk> <unk> <unk> . .,जैसे किसी कर के भुगतान में।
Track ahead looks good.,<unk> <unk> की अच्छा है है,मैं ऐसा नहीं करोगे. लगता है एल एल कुछ देखना.
You know who said that?,<unk> कुछ कि कि कि है ?,तुम जानते हो वह किसने कहा?
♪ I WILL REMEMBER YOU,( <unk> <unk> <unk> <unk>,♪मैंतुम्हेंयाद /मैंहोगा
"I'm gonna kill you, Weinselstein!",<unk> वाला वाला गोली गोली <unk> !,"मैं, Weinselstein तुम्हें मारने वाला हूँ!"
Where is your son Tatsuhei?,अपने अपने <unk> <unk> <unk> ?,आपका पुत्र 'तातसुहेइ' कहाँ है?
NdeR M@nkÖÖ ™ © P@rM!,( <unk> बंद बंद बंद,©@ पीआर एम nderएम@ nkÖÖ
"Romilly, is that true?","<unk> , , कि है है है","Romilly, क्या ये सच है ?"
Please make father say yes!,"<unk> <unk> <unk> , , ,",कृपया पिता हाँ कहने के लिए!
"Guys, keep your eyes open.","<unk> , , <unk> <unk> . .","दोस्तों, अपनी आँखें खुली रखो."
Get that elevator open now!,<unk> <unk> <unk> <unk> !,कि लिफ्ट अब खुला हो जाओ!
You actually enjoy that?,<unk> वास्तव में में में में,तुम वास्तव में आनंद?
Did you question him?,"<unk> तुम तुम , , ?",आप उससे सवाल किया था?
- what's going on?,क्या क्या क्या रहा है ?,- क्या हो रहा है?
"Forbes, what are you doing?","<unk> , तुम क्या क्या कर रहे हो","फोर्ब्स, तुम क्या कर रहे हो?"
Obviously they trust you.,<unk> वे भी भी भी करते,जाहिर है वे तुम पर भरोसा है.
Judah is so lucky.,<unk> बहुत <unk> है .,यहूदा बहुत भाग्यशाली है.
A double glazing-based sex fantasy.,<unk> <unk> <unk> <unk> .,डबल-ग्लेज़िंग वाली फंतासी.
"You can swivel, mate.","<unk> <unk> <unk> , , , कर","तुम चक्कर लगा सकते हो, दोस्त।"
I have been negligent.,<unk> <unk> <unk> है .,मैं लापरवाही की गई है.
"""your ass is grass.""",""" अपने <unk> <unk> <unk> है ""","""अपने गधे घास है."""
"You know what, Mercy?","<unk> <unk> है , , , ,","तुम्हें पता है क्या, दया?"
They just got engaged.,<unk> <unk> <unk> <unk> है .,उनकी सगाई हुई है.
"Hey, honey, come here.","<unk> , , , , चलो . .","शहद, अरे, यहाँ आओ!"
- You collect them?,<unk> <unk> <unk> <unk> ?,- तुम्हें इनका शौक है?
That's not going to work.,<unk> काम के करने नहीं है है है,काम करने के लिए नहीं जा रहा है कि .
What would you tell them?,<unk> तुम क्यों क्यों क्यों ? ?,क्या आप उन्हें बताना होगा?
I'm a school teacher.,<unk> <unk> <unk> <unk> <unk> कर .,मैं एक स्कूल में शिक्षक हूँ.
"It hurts, doesn't it?","<unk> <unk> <unk> , , नहीं नहीं है","दुख होता है, है न?"
keeping the lift engaged?,<unk> <unk> <unk> <unk> ? ?,लिफ्ट लगी रखने?
Do the hinges hinge?,<unk> <unk> <unk> <unk> ?,जोड़ ठीक से जुड़ते हैं?
You seem a bit shocked.,<unk> <unk> <unk> <unk> .,तुम थोड़ा हैरान लग रहे हैं।
You will make this happen.,<unk> ऐसा <unk> होगा . .,आप कर देगा यह होता है!
"You were, uh... extremely lucky.","<unk> <unk> , . . . .","आप, उह ... भुत ज्यादा भाग्यशाली है ."
If you say so.,<unk> आप आप हो . .,यदि आप ऐसा कहते हैं तो.
"I'll file a lawsuit, simple.","<unk> <unk> <unk> <unk> <unk> , , .","मैं, सरल एक मुकदमा दायर करेंगे."
"- ALL RIGHT, CALL HER.","<unk> <unk> <unk> , <unk> <unk> .","- ठीक है, उसे बुलाओ."
Numbers do not lie.,<unk> मत नहीं है .,संख्या झूठ नहीं है.
I don't really dream anymore.,<unk> वास्तव में नहीं नहीं नहीं है .,मैं वास्तव में अब सपना नहीं है.
It's like a horse race.,<unk> <unk> <unk> <unk> <unk> है .,यह एक घोड़े दौड़ की तरह है।
He looks like Amitabh Bachchan.,<unk> <unk> <unk> <unk> है है .,उन्होंने कहा कि अमिताभ बच्चन की तरह लग रहा है।
[ CAMERON CHUCKLES ],[ <unk> <unk> ] ],[कैमरून दूसरे से टकराए]
But there's another good news.,<unk> एक समय है . . .,लेकिन वहाँ एक और अच्छी खबर है।
Let's go to Vegas.,<unk> के के के लिए .,चलो वेगास के पास जाओ.
Then talk to your sister-in-law.,जीजाजी लोग में,तो अपनी साली से बात करो.
If you see anything suspicious...,<unk> आप कुछ <unk> . . .,आप कुछ भी संदिग्ध दिखाई देता है ...
They'II send you away.,<unk> तुम तुम हो . .,वे तुम्हें दूर भेज देंगे.
You know what to do.,<unk> कुछ क्या है है है .,आप क्या करना है पता.
Let's just wait and see.,<unk> सिर्फ मेरी तस्वीर पर . .,हमें बस इंतज़ार करना और देखना चाहिए.
My two youngest need me.,<unk> <unk> मुझे मुझे मुझे है .,मेरे दो सबसे कम उम्र मुझे जरूरत है।
Can we talk tomorrow?,<unk> हम कहाँ जा हैं ?,हम कल बात कर सकते हैं?
"Erik, take my hand!","<unk> , , ! ! !","एरिक, मेरा हाथ लो!"
Get to the basement.,<unk> के के लिए .,तुम बेसमेंट पहुंचो।
"Dude, what's she doing here?","<unk> , वह यहाँ क्या क्या रहा है है","यार, वह यहाँ क्या कर रहा है?"
How does 109 look?,<unk> <unk> <unk> <unk> है ?,? .. कैसेकरताहै109देखो
- There he is.,<unk> वह कहा है .,- वह वहाँ है.
They've taken the White House.,<unk> <unk> <unk> है है .,वे व्हाइट हाउस में ले लिया है.
[ TRUCK HORN HONKS ],[ <unk> <unk> ] ] ],[ट्रक सींग honks]
I was just checking in.,<unk> सिर्फ <unk> <unk> था .,बेबे
We had acres of corn.,<unk> <unk> <unk> <unk> .,हमारे पास काफी मकाई थी .
Some kid I have.,<unk> <unk> <unk> <unk> . .,कुछ ही बच्चे है मेरे.
There were perfect things.,<unk> टोपी <unk> थे थे .,वहाँ सही बातें कर रहे थे।
- It's my decision.,<unk> मेरी <unk> <unk> .,- यह मेरा फैसला है.
"Sanjay, listen to me please.","<unk> , , सुनो सुनो । ।","संजय, मेरी बात सुनो करें।"
- I don't like...,<unk> की नहीं . . .,- मुझे पसंद नहीं है ...
You're one of us now.,<unk> हम एक साथ एक हैं .,अब आप हम में से एक हैं.
But you can't find her.,<unk> <unk> नहीं नहीं नहीं . .,लेकिन आप उसे नहीं मिल सकता है।
- That's no answer.,<unk> <unk> कुछ भी नहीं है,- ये कोई जवाब नहीं है.
But you gotta believe me.,<unk> मुझे मुझे मुझे है .,तुम्हें मेरा यकीन करना होगा।
Indira has grown very beautiful.,<unk> <unk> बहुत <unk> है . .,इंद्रा बहुत खूबसूरत हो गयी है.
The brief said terrorists.,<unk> <unk> <unk> <unk> . .,संक्षिप्त आतंकवादियों कहा।
Then we guarantee your safety.,<unk> <unk> <unk> <unk> <unk> <unk> .,"तो, हम आपकी सुरक्षा की गारंटी."
You'll have heard the story.,<unk> <unk> <unk> है है .,तुमने तो सुना होगा ...
- Then act like it.,<unk> <unk> <unk> <unk> . .,- तो फिर यह की तरह काम करते हैं.
"What do you mean, ""Wait""?","<unk> , , , , , , , है है","- क्या तुम, ""रुको,"" क्या मतलब है?"
- What if I don't?,<unk> <unk> <unk> <unk> नहीं किया ?,- अगर नहीं दिखाया तो?
His name is Lucas.,<unk> नाम <unk> है .,उसका नाम Lucas है।
- Read it and weep.,<unk> <unk> और <unk> . .,इसे पढ़ो और रोओ।
What's happening to me?,<unk> मुझे क्या लिए है है ?,मुझे क्या हो रहा है?
"Focus on the knot, luv.","<unk> <unk> , <unk> <unk> .","गाँठ पर ध्यान दें, Luv।"
"Brand, co-pilot, you're up.","अरे , तुम तुम हो । ।","Brand, तुम co-pilot की सीट पर आ जाओ ."
"I mean, how much can...",<unk> <unk> है है है . . .,"मेरा मतलब है , कितना कर सकते हैं..."
"There's a copy, alright.","<unk> <unk> <unk> <unk> , , , ,","एक प्रति ठीक है, नहीं है।"
Shall I call an ambulance?,<unk> <unk> <unk> <unk> <unk> <unk> ?,मैं एक एम्बुलेंस फोन करेगा?
I will save my daughter-in-law.,जीजाजी लोग में,मैं अपनी बेटी भाभी की बचत होगी।
I will accept any hardship.,<unk> <unk> <unk> <unk> . .,मैं किसी भी कठिनाई को स्वीकार करेंगे.
He only believes he is.,<unk> <unk> वह <unk> है . .,वह केवल वह है विश्वास रखता है.
Reporting for Channel 7 News.,<unk> <unk> <unk> <unk> <unk> . .,चैनल 7 न्यूज के लिए रिपोर्टिंग.
You can't be in here.,<unk> यहाँ नहीं नहीं कर . .,तुम यहां अंदर नहीं आ सकते।
"- You got it, boss.","<unk> <unk> , , , .","- आप, मालिक मिल गया."
And your BMW's not convertible.,<unk> <unk> <unk> <unk> नहीं नहीं .,तुम्हारी बीएमडब्ल्यू परिवर्तनीय नहीं है।
- Bella does not.,<unk> परवाह नहीं . .,~ बेला नहीं करता है.
I just thought since we...,<unk> सिर्फ अभी को . . .,मैं सिर्फ हम के बाद सोचा था कि...
"No, sir, I know hungover.","<unk> <unk> , , , <unk> <unk> . .","नहींसर,मैंhungoverपता"
We can make it.,<unk> यह कर कर सकते .,हम यह कर सकते हैं.
He was barking away.,<unk> <unk> <unk> गया . .,वह दूर भौंकने था।
He needs both his dads.,<unk> <unk> <unk> की की है .,उसे अपने दोनों पापा की ज़रूरत है।
-(MERRY MUSIC PLAYING) -(CHILDREN SHRIEKING),( <unk> <unk> ),(मीरा संगीत खेल) (बच्चे लगाना)
So put the gun down..,कार्यालय <unk> के . . .,इसलिए बंदूक़ नीचे कर लो
Show Mommy your teeth.,<unk> <unk> <unk> <unk> . .,मम्मी को अपने दाँत दिखाओ।
She's the Indian Ambassador's daughter.,<unk> <unk> <unk> <unk> है है,वह भारतीय राजदूत की बेटी है।
Just back it up.,<unk> <unk> <unk> <unk> . .,"नहीं, नहीं बस इसे वापस।"
Did he say why?,<unk> वह किया किया ?,वह क्यों कहा?
She can't say Rud either.,<unk> <unk> <unk> नहीं नहीं सकते हैं,वह भी रूड नहीं कह सकती हैं.
He took everything from me.,<unk> <unk> <unk> मुझे मुझे . .,उसने मुझसे सब कुछ लिया।
How sad it feels...,<unk> <unk> . . . .,कैसे दुख की बात है तो ऐसा लगता है...
I discard the razor blade.,<unk> <unk> <unk> <unk> .,मैंधारत्यागने
"Yes, sir, I'm very sure.","<unk> , , , , , , , . .","हाँ, सर, मैं बहुत यकीन है."
"The way, we win, matters.","<unk> , , , , , , ,","तरह, हम मामले को जीतने के लिए."
Many mistakes have been made.,<unk> <unk> <unk> है है .,कई गलतियाँ की गई है.
What a silly boy.,<unk> एक <unk> <unk> . .,क्या एक मूर्ख लड़का।
We'll wait for her.,लक्ष्य उसके के लिए लिए . .,हम उसके लिए इंतजार करेंगे।
Our guests have arrived.,<unk> <unk> <unk> है .,हमारे मेहमान आ चुके हैं.
Have you seen him?,<unk> तुम उसे उठा ? ?,क्या आपने उसे देखा है?
How old are you?,<unk> <unk> आप क्या कर हो,तुम्हारी उम्र क्या है?
And he... does he know?,<unk> वह वह कुछ . . .,और वह ... उसे पता है क्या?
Come over to the meeting.,<unk> के के लिए . .,मीटींग में आओ.
I knew who it was.,<unk> कुछ कुछ था . .,मुझे पता था की वो आप थे.
What a pleasant surprise.,<unk> <unk> <unk> <unk> .,कितना सुखद आश्चर्य है.
"- So, here we are.","<unk> , यहाँ यहाँ हम हैं .","- सो, हम आ गए."
It's a play date!,<unk> <unk> <unk> <unk> !,आज बच्चों के साथ खेलने का दिन है!
Don't bring us dogging then!,<unk> <unk> <unk> <unk> <unk> नहीं !,तो हमें कुत्तेपन पर नहीं लाते।
Get your security teams up.,<unk> <unk> <unk> <unk> <unk> . .,अपनी सुरक्षा टीमें तैयार करो।
I am sorry... my friend.,<unk> <unk> . . . . . .,माफ़ करना... मेरे दोस्त।
"Write it up, Cub Scout.","<unk> <unk> , <unk> <unk> .",", शावक स्काउट इसे लिखो."
Now look behind you.,<unk> <unk> पीछे पीछे . .,अब आप पीछे देखो।
"Quite the politician, huh?","<unk> <unk> <unk> , , , ?",क्या राजनीतिज्ञ हो !
"Hello, she's coming sure, ah?","<unk> , है है , , , , , ,","हैलो, वो वास्तव में आ रही हैं, हाँ?"
Mine is worth ten.,<unk> <unk> <unk> है .,मेरी तो दस के बराबर है।
"Well, see this pie chart?","<unk> , , यह <unk> <unk> <unk> ?",यह पाइ चार्ट देख रहे हो?
"- A coffee, please.","<unk> <unk> <unk> , कृपया .",- एक कॉफी।
He never believed in you.,<unk> <unk> <unk> नहीं नहीं नहीं नहीं,उन्होंने कहा कि आप में कभी विश्वास नहीं किया।
Some habits die hard.,<unk> हाउस हाउस में जला .,कुछ आदतें मुश्किल मर जाते हैं.
Have a fun lady party!,<unk> <unk> दरवाजे बंद ! !,आपकी पार्टी मज़ेदार हो!
I'll read you his letters.,<unk> <unk> <unk> <unk> <unk> । ।,मैं वो चिट्ठी तुम्हें पढ़ाऊंगी
Don't speak in your mind.,<unk> बच्चों में नहीं नहीं नहीं है,आपके मन में बात मत करो।
but you made it.,लेकिन तुम तुम यह . .,लेकिन आप इसे बनाया है।
With the different color chips.,<unk> <unk> <unk> . .,अलग रंग चिप्स के साथ.
Not until I see Okja.,<unk> <unk> <unk> <unk> . .,ओक्जा से मिलने तक नहीं।
Take back the silver.,<unk> <unk> <unk> <unk> .,सिक्के वापस ले लो.
"More than excellent, mate.","<unk> <unk> <unk> <unk> , , .",शानदार से भी अच्छी होगी दोस्त।
Do not shoot him.,उसे नहीं नहीं नहीं .,उसे मत मारो!
- Don't say anything.,<unk> कुछ नहीं नहीं . .,- कुछ मत कहना. भाड़ में जाओ.
JUST-- JUST STAY OVER THERE.,<unk> <unk> <unk> <unk> .,बस - सिर्फ वहाँ पर रहना.
Would he not like you?,<unk> कुछ कुछ नहीं नहीं किया ?,क्यों वो तुम्हें पसंद नहीं करेगा ?
Engage at your discretion.,अपने <unk> <unk> <unk> . .,अपने विवेक में व्यस्त हैं.
Give it to me.,<unk> मुझे लिए लिए . .,ये मुझे दो।
"You understand this, don't you?","<unk> , है है है , , नहीं है","आप इस बात को समझ , तुम नहीं करते?"
"You must be Brice, right?","<unk> <unk> क्यों क्यों , , ?","तुम सही हो, ब्राईस होना चाहिए?"
Get him out of here!,<unk> से से बाहर ! ! !,उसे यहाँ से बाहर निकालो!
Why don't you say something?,<unk> कुछ कुछ कुछ नहीं ?,तुम कुछ कहते क्यों नहीं?
He didn't rat me out.,<unk> मुझे मुझे नहीं मारा .,उन्होंने मुझे बाहर चूहे नहीं था.
Did you pick a lot?,आप एक कुछ कुछ ? ? ?,क्या तुम्हें बहुत सारी मिलीं?
"Okay, switch to mobile.","<unk> , के के के लिए .","ठीक है, मोबाइल को स्विच."
Lynne smoked the wrong guy.,<unk> <unk> <unk> .,लीनी गलत आदमी स्मोक्ड.
"- Emil Hamilton, I know.","<unk> <unk> <unk> , , , .","- एमिल हैमिल्टन, मुझे पता है."
I've brought some presents.,<unk> <unk> <unk> <unk> .,मैं कुछ उपहार लाया हूँ
How many more days?,<unk> और <unk> <unk> . ?,और कितने दिन?
"5 days, all expenses paid!","<unk> , , <unk> <unk> ! !","5 दिन, सभी खर्चों का भुगतान किया!"
"Pilot two, out of alignment.","<unk> <unk> , <unk> से . .","पायलट दो, संरेखण से बाहर."
"Savior One-Zero, the LZ's clear.","<unk> , <unk> , , .","उद्धारकर्ता एक-शून्य, LZ स्पष्ट है।"
Marshal Pentecost on deck.,<unk> <unk> <unk> <unk> . .,डेक पर मार्शल पेंटेकोस्ट.
And don't miss the funeral.,<unk> स्टील नहीं नहीं है .,और अंतिम संस्कार पर ज़रूर जाना।
We're in a crisis here!,<unk> <unk> <unk> <unk> <unk> हैं,हम यहाँ संकट में हैं!
This is my moment.,<unk> <unk> <unk> है .,यह मेरा समय है।
You're talking to the Führer.,<unk> <unk> के लिए कर रहे हैं हैं,तुम फ्यूरर से बात कर रहे हो.
"Holly, hang with me.","<unk> , मेरे मेरे . .","होली, मेरे साथ ही रहना."
And you believe that?,आप आप कि कि कि है,और आपको लगता है कि?
"""Our meeting wasn't a coincidence.""",""" <unk> एक एक <unk> नहीं । ।","""हमारी बैठक एक संयोग नहीं था।"""
I love candy bars.,<unk> <unk> <unk> <unk> <unk> .,मैं कैंडी बार प्यार.
It's a bubble bath.,<unk> <unk> <unk> <unk> है .,यह एक बुलबुला स्नान है.
We will need that ring.,<unk> कारण कि किया है .,हम उस अंगूठी की आवश्यकता होगी.
"Thirty years of friendship, Burt.",<unk> के के <unk> <unk> .,"दोस्ती का तीस साल, बर्ट."
"What, like Speed Racer here?","<unk> <unk> , <unk> <unk> <unk> <unk> <unk>","क्या, इस तेज रफ्तार सड़क पर?"
"Take the wheel, Tom.","<unk> <unk> , <unk> .","तुम गाड़ी चलाओ , Tom."
Get off of me!,मुझे मुझे बंद बंद !,मुझसे दूर हटो!
We can still reach you.,<unk> अभी भी भी कर <unk> कर,हम अभी भी आप तक पहुँच सकते हैं.
- Looks like he did.,<unk> वह कहा किया किया .,- जैसे वह करता था.
man speaking native language:,पुरुष अपनी मातृभाषा मातृभाषा में बोल,पुरुष अपनी मातृभाषा में बोल रहा है:
Liars. You all hated him.,<unk> <unk> <unk> <unk> <unk> है .,आप सभी उसे पसंद नहीं थी.
Tony looks really good.,<unk> वास्तव वास्तव वास्तव वास्तव है,टोनी वास्तव में अच्छा लग रहा है.
- Men and women.,<unk> और <unk> <unk> .,- पुरुष और महिलाएँ.
The worst trouble imaginable.,<unk> <unk> के <unk> <unk> .,सबसे ज्यादा परेशानी कल्पना.
"The part that counts, anyway?","<unk> है कि कि कि है , ,","जो महत्वपुर्ण है, वैसे भी."
I can fix it.,<unk> <unk> <unk> कर कर कर,मैं इसे ठीक कर सकता हूँ।
"Hey, what are you doing?","<unk> , तुम क्या क्या कर रहे हो",अरे तुम क्या कर रहे हो?
"I think so, your Grace.","<unk> <unk> , , , , .","मुझे ऐसा लगता है, अपने अनुग्रह।"
"- Ford Granada, XL.","<unk> <unk> <unk> , <unk> .","- फ़ोर्ड ग्रनाडा, एक्सएल।"
"IT'S NOT FOR EVERYONE, SON.",<unk> <unk> <unk> <unk> <unk> <unk> <unk> .,"यह हर किसी के, बेटे के लिए नहीं है."
Just get me home.,<unk> मुझे <unk> ले । .,बस मुझे घर ले आओ.
I remember that day.,<unk> <unk> कि समय है .,मुझे वह दिन याद है.
You fly that thing?,<unk> क्या क्या है ? ?,आप कि बात उड़ ?
The child is buried there.,<unk> <unk> <unk> है . .,बच्चा वहाँ दफन है.
NOT ON THIS PHONE.,<unk> <unk> <unk> <unk> .,नहीं इस फोन पर.
"- Yes, my dead friend.","<unk> , , , , , है","~, मेरे मृत दोस्त."
"You're too old, Lasse.","<unk> <unk> <unk> , हैं , हैं .","तुम काफी बूढ़े हो, लेसे."
He's very dangerous man.,<unk> बहुत <unk> है .,वो बहुत ही खतरनाक आदमी है.
Then this is it.,<unk> इस यह है है .,तो यह बातहै.
I like my constituents.,<unk> <unk> <unk> <unk> .,मुझे अपने मतदाता पसंद हैं।
You're not leaving me!,<unk> मुझे नहीं नहीं कर हैं,तुम मुझे नहीं जा रहे हैं!
- Let's be reasonable.,<unk> <unk> <unk> है .,- हमें थोड़ा तर्कसंगत होना होगा.
Every muscle gains extra power,<unk> <unk> <unk> <unk> <unk>,हर मांसपेशी लाभ अतिरिक्त बिजली
"""You can search on Google.""",""" <unk> <unk> <unk> खोज कर सकते हैं ।","""आप गूगल पर खोज कर सकते हैं।"""
- You're saying that now.,<unk> वे कि कि रहे रहे रहे,- अब आप जो कह रहे हैं।
They're gonna find us anyway.,<unk> <unk> वाला जा जा रहे हैं हैं .,वे हमें वैसे भी खोज ही लेंगे.
Never ask a man's earnings.,<unk> एक <unk> <unk> <unk> । ।,आदमियों की कमायी कभी नहीं पूछनी चाहिये.
It's come to my voice.,<unk> के के के है है .,यह मेरी आवाज के लिए आ रहा है!
Andy would never do that.,<unk> कुछ नहीं नहीं नहीं .,एंडी ऐसा कभी नहीं करेगा.
"- OH, FOR FUCK'S SAKE.","<unk> <unk> , <unk> <unk> <unk> .","-ओह,बकवासखातिरकेलिए"
And the gift shop.,<unk> के <unk> . .,और उपहारों वाली दुकान से।
ls there a gun?,<unk> एक काफी मौका है ?,रासवहाँएक बंदूक?
- Jacob please go.,कृपया कृपया कृपया ।,याकूब कृपया जाओ.
There's usually a tip involved.,<unk> <unk> <unk> <unk> <unk> <unk> .,टिप लगेगा.
I hate field work.,<unk> ने के भी भी भी,एल क्षेत्र कार्य से नफरत है.
"It's all here, it's done.","<unk> <unk> यहाँ , , यह है है .","यह सब यहाँ, यह किया जाता है."
"I didn't tell you, right?",<unk> तुम्हें नहीं नहीं नहीं नहीं था ?,"मैनें तुम्हें बताया नहीं,ना?"
I've done everything you've asked.,<unk> कारण कि कि है है है ।,आपने जो कहा मैंने किया।
You know what that means?,<unk> कुछ कि कि कि कि क्या,आप इसका क्या मतलब पता है?
He gave me this idea.,क्योंकि मुझे मुझे यह यह . .,इसी ने मुझे ये राय दी.
"- No, you don't.","<unk> , , तुम नहीं । ।","- नहीं, तुम नहीं करते."
I'm flying in your mischief...,<unk> <unk> <unk> <unk> <unk> . . .,l'm flying in your mischief...
Or do not forgive sakim.,<unk> <unk> नहीं नहीं नहीं . .,या नहीं sakim माफ नहीं है.
"That's Cristo, you dumb shit?","<unk> <unk> <unk> <unk> , <unk> <unk> <unk> ?","वह क्रिस्टो है, बेवकूफ."
Let's let him rest.,<unk> उसे खाने बंद है .,उसे आराम करते चलो.
Let go of her!,उसे से से ! ! !,उसे जाने दो!
We don't belong here.,<unk> यहाँ नहीं नहीं है .,हम यहाँ नहीं हैं.
I think they were afraid.,<unk> वे <unk> <unk> कर . .,मुझे लगता है कि वे डरते थे।
What do we do now?,<unk> अब अब क्या है है ?,अब हम क्या करेंगे?
Like a wild flower.,<unk> <unk> <unk> <unk> .,तो एक फूल की तरह लगती हो
"Now, the founders were crafty..",<unk> <unk> <unk> <unk> <unk> . .,संस्थापक चालाक थे
"- Sir, no sir!","<unk> , , , ! !","- सर, नहीं सर!"
"Push, or they'll shoot you!","<unk> , मैं तुम्हें <unk> <unk> !",धक्का मारो वरना वे तुम्हें गोली मार देंगे!
What do you think?,<unk> आप कुछ है है ?,आप क्या सोचते हैं?
Steve Gray already did that.,<unk> <unk> <unk> <unk> कि किया किया,स्टीव ग्रे पहले से ही था.
- Vincent. - Not now!,अब <unk> <unk> !,-विंसेंट।
What's happening with you?,<unk> आप साथ साथ है ? ?,तुम्हारे साथ क्या हो रहा है?
Meet me in the square!,<unk> <unk> <unk> <unk> !,मुझसे चौक में मिलना!
Where'd you get this?,आप यह यह यह <unk> ? ?,आप यह मिलता होगा?
Let us help you.,<unk> उन्हें उन्हें मदद बोल ।,हमें मदद करने दो।
Charlotte are you reading this?,<unk> आप कुछ कुछ कर हैं ?,शेर्लोट आप यह पढ़ रहे हैं?
"Teach me? Oh, no!","<unk> मुझे <unk> , , , ,",मुझे सिखाने के लिए?
"Here, have some juice.","<unk> , <unk> <unk> है .","यहाँ, कुछ रस है."
Who is he talking to?,<unk> क्या क्या क्या है है है,वह किससे बात कर रहा है?
I am not my father.,<unk> मेरे पिता नहीं नहीं . .,मैं मेरे पिता नहीं हूँ.
"Oh, she loved me.","<unk> , मैं मुझे मुझे था था","ओह, वह मुझे प्यार करता था."
to the year after.,टेलीफोन के के के के .,वर्ष के बाद करने के लिए।
What's the boyfriend's name?,<unk> <unk> नाम नाम है ?,प्रेमी का नाम क्या है?
Artificial population control established.,<unk> <unk> <unk> <unk> .,कृत्रिम जनसंख्या नियंत्रण स्थापित किया.
Come back to me.,<unk> मुझे मुझे लिए . .,मेरे पास वापस आ जाओ।
Find how to tell her.,<unk> उससे लिए लिए लिए . .,ढूढने की कैसे उसे बता सके .
Let me see it.,मुझे मुझे मुझे मुझे . .,मुझे इसे देखते हैं.
Look to your right.,<unk> <unk> <unk> के लिए .,अपने अधिकार के िलए देखो.
So here we are.,<unk> यहाँ हम . हैं .,तो हम यहाँ हैं।
Stop making so much noise!,<unk> बहुत <unk> <unk> <unk>,इतना शोर मत करो!
I don't care about that.,<unk> इसके में नहीं नहीं नहीं है .,मुझे परवाह नहीं।
"Jack, the Tet's offline.","<unk> , <unk> <unk> <unk> .","जैक, Tet के ऑफ़लाइन."
"AND LEARN, MY FRIEND.","<unk> <unk> <unk> , <unk> <unk> .","और, मेरे दोस्त जानें."
He Will kill him.,<unk> उसे उसे मारा मारा .,वह उसे मार डालेगा।
- What does that mean?,<unk> कि कि कि है है,- इसका क्या मतलब है?
That's what he is.,<unk> वह वह है है है,यही कारण है कि वह क्या है।
She was so mean.,<unk> बहुत कि कि था .,वह इतनी चिड़चिड़ी थी.
I will arrest you now,<unk> अब अब अब <unk> <unk>,मैं तुम्हें अब गिरफ्तार करेगी
"Time to go, Mr. President!","<unk> के , <unk> <unk> ! !","जाना समय, अध्यक्ष महोदय!"
I don't do luck.,<unk> <unk> नहीं नहीं है .,मैं भाग्य से नहीं करते हैं।
Not a shred of honor!,<unk> <unk> <unk> <unk> !,सम्मान का एक टुकड़ा नहीं!
I found this lawyer.,<unk> इस समय है है .,मैंइसवकीलपाया
We'll shoot back at them!,वापस वापस वापस वापस ! !,हम वापस उन पर गोली चलाएंगे!
Don't let her get away.,<unk> उसे नहीं नहीं नहीं .,उसे दूर हो जाओ मत करो.
Murph is a bright spark.,<unk> <unk> <unk> है है .,Murph एक समझदार लड़की है .
"They, too, blind me.","<unk> , , , , , मुझे मुझे",वे भी मुझे अंधा.
No... I don't smoke either.,<unk> <unk> . . . . . . .,- धूम्रपान भी नहीं करता...
"For you, my dear... anything.","<unk> <unk> , , . . . .","तुम्हारे लिए, मेरी जान... मैं कुछ भी करूँगा।"
Stay out of my way.,मेरे से से <unk> . .,मेरे रास्ते में मत आओ।
"Tiger Four, adjust approach!","<unk> <unk> <unk> , <unk> <unk>","टाइगर चार, दृष्टिकोण को समायोजित!"
Thank you very much.,<unk> बहुत बहुत बहुत . .,बहुत बहुत शुक्रिया.
man speaking native language:,पुरुष अपनी मातृभाषा मातृभाषा में बोल,पुरुष अपनी मातृभाषा में बोल रहा है:
What shave down there?,<unk> <unk> <unk> <unk> . .,आप का मतलब नीचे सेविंग?
"- Fucking Ziploc, my ass.","<unk> <unk> , , , . .",- ज़िपलॉक जाए भाड़ में।
"I just, I really...","<unk> सिर्फ , , , . .","बस, मैं वास्तव में मैं..."
"Bond, we need to talk.","<unk> , करने बात करनी है है है","बॉन्ड, हमें बात करनी होगी।"
- We have lo celebrate.,<unk> <unk> <unk> है .,- हमें जश्न मनाना है.
Well there are several examples...,<unk> <unk> <unk> <unk> . . .,वैसेवहाँकई उदाहरण...
